id,oid,name,matches
388,6572bd45-973c-4075-9d23-9dc728b37828,"Университетская набережная, д. 7-9-11, лит. В",200
389,10fde6af-c151-4c55-af8d-1767d8c79053,"Университетский проспект, д. 26, лит. А",178
390,75c999a7-1e46-4ac1-8444-a061d60c0ac4,"Менделеевская линия, д. 5, лит. А",145
391,94de3ab9-1d67-4d41-a070-2796411075a7,"набережная Макарова, д. 6, лит. А",79
392,dca80382-540c-4b6f-bee5-ee62e230c93d,"Ульяновская улица, д. 1, корп. Л, лит. А",73
393,8a63fcab-3ffa-412d-b4fc-9d903547e1b3,"10-я линия В.О., д. 31-33, лит. A",71
394,13ee36d1-4622-4097-a142-e5d919d90177,"Санкт-Петербургское шоссе, д. 109, лит. А",71
395,7a9fc520-7ccc-4aab-a2b9-766a309d6d7f,"Университетский проспект, д. 35, лит. Б",70
396,4425f2ad-cbb4-42c7-845d-49408bf1fad2,"Смольный проезд, д. 1, лит. Б, (подъезд №9)",66
397,baf0eed7-4ef8-4e37-8dfb-df91d9021bd4,"Университетский проспект, д. 28, лит. Б",66
398,46b91e55-4a24-44cb-9acd-589236e7618e,"Смольный проезд, д. 1, лит. Б, (подъезд №8)",61
399,e17d54d4-dcb0-4ca0-9b35-c44c682094e0,"6-я линия В.О., д. 15, лит. A",61
400,2de00a5b-b8cd-4a96-9576-53e6a0aa5c54,"Средний пр.  В.О., д. 41, лит. А",61
401,4b03ee65-4f28-4523-b225-bba45ef05ca7,"9-я линия В.О., д. 2/11, лит. А",60
402,9dcc5913-8824-4264-b61c-bed37f198c35,"Ульяновская улица, д. 1, корп. М, лит. А",55
403,510f1f52-9a49-4826-93f9-cce0376cc4ef,"переулок Каховского, д. 9, лит. А",53
404,e48fa808-febb-4add-8f97-ec0dc16ae926,"Смольный проезд, д. 1, лит. Б, (подъезд №7)",51
405,f82e3163-afc3-40f8-88d4-edb889bb3af1,"1-я линия В.О., д. 26, лит. A",48
406,e4da8b3c-c775-49a1-8772-f158a7076ddf,"Университетская набережная, д. 7-9-11, лит. А",47
407,e0e1c87c-da68-4d7f-a8c3-03a6ea486345,"переулок Декабристов, д. 16, лит. А",42
408,45c89a5c-6e15-459e-81af-44e8a2377e32,"22-я линия В.О., д. 7, лит. А",39
409,ae5894d8-8e38-409c-88a2-c9273b6426d8,"Галерная улица, д. 58-60, лит. А",38
410,e7b6316b-ff0a-4219-8fa0-039788c98d65,"Ульяновская улица, д. 3, корп. В, лит. А",36
411,afe04825-f224-46c4-8700-5449dbc8595f,"Университетская набережная, д. 7-9-11, лит. Ц",35
412,86122aa7-1316-488e-bb44-090e08eea89c,"Филологический переулок, д. 3, лит. П",35
413,95197775-1bc4-4652-9fad-690cdf5458a6,"Ботаническая , д. 31, лит. А",33
414,69e6147e-2f27-49df-bc31-ffddf628d5f5,"Собственный проспект, д. 1, лит. А",32
415,f833493d-2ad5-4a1a-b46d-43d3d738b782,"10-я линия В.О., д. 49, лит. A",32
416,13f76908-a8fb-4f1d-ac0e-3ab505bd747a,"Чайковского улица, д. 62, лит. А",30
