id,oid,name,capacity,seating_type,additional_info,address_id
8138,056384cd-abef-4998-ba3b-00aa213db8a9,184,18,0,"Преподавательская в которой проводят занятия, маркерная доска, ТВ",388
8139,972a93b5-b649-48da-a13c-02715ee7dfa7,229,22,0,"ТВ панель,  проектор, экран",388
8140,166dfdb6-c815-445c-978e-03df420676ec,109,12,0,"ТВ, меловая доска, моноблок",388
8141,f2923e63-6910-49ae-9b21-051d40afc6be,10вш,7,0,"магнитно-маркерная доска, ТВ",388
8142,3c37abcd-b39f-43b3-817e-06b472e1e076,15п,28,0,"ТВ, вебкамера, меловая доска",388
8143,cb2953f8-f0e8-4cb9-b2b8-06f0bdcd436e,215,16,0,"Д.мел, ТВ, веб-камера",388
8144,6162140c-ccd2-4115-89f5-075b5703c8fd,86,11,0,"10 кабинок лингафонных, колонки, Д.маркер, веб-камера, ТВ",388
8145,44857c8a-57df-41cc-b27a-08248b9ab5d9,1п,10,0,меловая доска,388
8146,72ffe503-4544-4718-a7f4-08540fee98d4,160,8,0,"ВФ, кафедра Африканистики, Проектор, экран, тел.панель",388
8147,672a85bb-2551-4951-befb-088a31ee7e6f,6п,10,0,меловая доска,388
8148,694b599f-0260-47be-9d3a-09aea611d82e,2ч,16,0,тел.панель,388
8149,447c4326-76ff-4733-84ce-0a5fe200c682,1вш,8,0,"магнитно-маркерная доска, ТВ",388
8150,8e59bcf0-2ee2-403a-ab5d-0a7bfbe4e406,1о,14,0,"магнитно-маркерная доска, ТВ, моноблок",388
8151,f8bf0ea3-a2e0-46a0-a33f-0b61925fdd62,200,12,0,"ВФ: Каф. Центр Азии и Кавказа; Проектор, ТВ панель, экран",388
8152,a579908b-8d69-4561-b1e3-0c82e5fa0e3d,4о,11,0,"магнитно-маркерная доска, ТВ, моноблок",388
8153,b55e25d1-61db-42be-b660-0d8ecabfdd25,199-а,10,0,"1 ПК, Д.маркер, веб-камера, колонки, ТВ",388
8154,51734a9a-0cc3-420b-addc-0f856a33315b,157,26,0,"12 ПК, колонки, Д.маркер, веб-камера, наушники, микрофон, интерактивная панель",388
8155,555115f5-05db-42d8-9767-0fae906ba0b0,17вш,7,0,"2 ПК, магнитно-маркерная доска, веб-камера, колонки, ТВ",388
8156,ef85c290-4d80-4855-b890-114f5b3adb48,240,10,0,ВФ: Каф. истории стран Древнего Востока; Проектор ,388
8157,adb509d2-7fb5-47c3-ace1-122526c038a4,6ч,12,0,"ВФ: Каф. филологии ЮВА, тел.панель",388
8158,ef5a527e-4f79-4c83-8078-15adcd4bbd28,7п,8,0,меловая доска,388
8159,0f706e58-06f6-4c4a-8d82-1601a3e7a676,115,3,0,"",388
8160,3c5e5001-520e-4ace-92a5-180100721720,234,18,0,"Меловая доска, ТВ, моноблок",388
8161,10dd8d03-b01a-4b2c-ad09-1813c855ccc7,14л,18,0,"веб-камеры, колонки, тв, маркерная доска",388
8162,f58442d7-49f7-403f-9266-1b4d238359ca,14о,13,0,"магнитно-маркерная доска, ТВ, моноблок",388
8163,d7efc2d0-b762-4380-81a7-1dde2ea7e5e9,1ч,15,0,тел.панель,388
8164,2511ac92-6dd3-4799-8474-1e5e6631e6a8,237,10,0,"Преподавательская в которой проводят занятия, 2 МФУ, Д.маркер, веб-камера, колонки",388
8165,47150878-87fc-488d-9107-25306bd66621,б/н (16),16,0,"Преподавательская в которой проводя занятия, Д.маркер",388
8166,b55f4598-f01e-4d76-b92b-255a342c3fc2,208,8,0,"веб-камера, колонки, тел.панель, Д.маркер, 2 ПК",388
8167,bdc11798-e268-45d9-b337-256961e48942,203,10,0,"веб-камера, колонки, ТВ, маркерная доска",388
8168,22f5de67-eee8-4429-afda-26d03d8f00a2,223,26,0,"ВФ: Каф. японоведения; Проектор, экран, аудиосистема",388
8169,d441e9b9-cc61-4caf-bcef-27208500cf95,211,11,0,"веб-камера, колонки, ТВ, маркерная доска",388
8170,d2aa3fa0-60eb-4703-882f-2a608041ac48,139,13,0,"ТВ, Д.маркер, наушники(12)",388
8171,f9743e7b-5631-465b-8968-2bfac15c432d,149,12,0,"1пк, наушники,  веб-камера, маркерная доска, интерактивная панель",388
8172,0bc8c722-0cff-455c-96ff-2c58f02d9eef,16вш,9,0,"1 ПК, магнитно-маркерная доска, веб-камера, колонки, ТВ",388
8173,844a9ca4-57fb-4c09-bb28-2ff5eb835693,176,16,0,"Преподавательская в которой проводя занятия, веб-камера, колонки, ТВ, маркерная доска",388
8174,e9130a37-e98d-4f03-931a-32c56bc39f9a,167,22,0,"ВФ: Каф. истории стран Дальнего Востока; Проектор, ТВ панель, экран",388
8175,2d9f8ffb-0a3e-44d3-83b3-344604e9504f,197,2,0,,388
8176,fe7cd13f-681b-4bec-bf59-348592f5db20,26,8,0,,388
8177,e6f89ff7-6793-4074-a04a-3528c37d4483,177,12,0,"ВФ: Каф. японоведения; Проектор, экран, тел.панель",388
8178,5afaa9c0-fe2e-4bb1-8efb-3533e5520bb4,168,16,0,"Преподавательская в которой проводят занятия, веб-камера, колонки, маркерная доска",388
8179,f84e2d71-8be9-4ebe-b6a5-35c5ff05a473,4-л,2,0,"",388
8180,849fbc08-ab7e-41ac-bacf-379ed701e9a3,12-л,12,0,"тел.панель, веб-камера, колонки, Д.мел",388
8181,8df1a825-1ef7-4de8-98c9-37ac4e25c76d,199,6,0," тел.панель, веб-камера, колонки (аудитория объединена со 199а, занятия проводят только в 199а)",388
8182,a67f3b0f-bf93-4be9-ad3e-3868d24008dc,10-сн,16,0,"веб-камера, колонки, проектор, интерактивная доска, маркерная доска",388
8183,034e737f-dc51-4c12-82b0-387f29119377,112,12,0,меловая доска,388
8184,c74e2669-5150-48cb-895a-38f26fe8018a,230а,10,0,"веб-камера, колонки, ТВ, маркерная доска",388
8185,8a5edfd5-d126-4a81-bc91-394519116ec2,116,12,0,"колонки, ТВ, меловая доска, 2 ПК",388
8186,84a10c6e-6689-4e46-92dc-3ac6b0776552,б/н (8),8,0,"Преподавательская в которой проводя занятия, 3 ПК, Д.маркер",388
8187,0544a569-f838-4dfc-90db-3ac8110cedcc,182,10,0,"Не назначать занятия - Книгохранилище, веб-камера, колонки, ТВ",388
8188,9d23fce5-842c-45cc-8078-3b403624c845,106,8,0,меловая доска,388
8189,11206ffb-7ffc-4270-869c-3c91f6a0e7dd,220,20,0,ТВ панель,388
8190,f2dcb4c2-fd89-4370-82a7-3ccfae841294,174,10,0,ВФ: Каф. монголоведения; Проектор,388
8191,0222fa7f-de19-463c-ae79-3d075087868b,13л,10,0,"веб-камера, колонки, Д.маркер",388
8192,c15b1d7b-efa3-4f11-8979-3d8a70802d82,233,14,0,"Преподавательская в которой проводят занятия, 1 МФУ, Д.маркер, веб-камера, колонки, ТВ",388
8193,01b16a49-ccd8-42c9-961a-3dc0d85d122a,215а,100,0,"гибридная аудитория, проектор, веб-камера, колонки, микрофон, интерактивная доска",388
8194,2d5c59c5-ace3-4a83-85a2-3efd3c04f498,189,24,0,"ВФ: Каф.Тюркской фиолологи; Проектор, ТВ панель, экран",388
8195,258015b0-cdef-4df0-b156-4137bdb35c47,121,12,0,"Д.маркер, веб-камера, проектор, колонки",388
8196,d5422495-0104-4dc9-bfa7-4205293040be,231,1,0,,388
8197,091e7352-c3c0-4799-a54f-427eb81cca43,4п,10,0,"моноблок, ТВ",388
8198,d0dfa2d2-83a3-4063-840f-44327ad97d8e,164,12,0,"доска мел, книгохранилище",388
