id,start_time,end_time,description,location
599,2023-08-15 11:30:00,2023-08-15 13:00:00,"Реконструктивная урогинекология, лекция","набережная реки Фонтанки, д. 154, лит. Г, 244"
600,2023-08-16 11:30:00,2023-08-16 14:30:00,"Реконструктивная урогинекология, практическое занятие","набережная реки Фонтанки, д. 154, лит. А, 447"
601,2023-08-17 11:45:00,2023-08-17 14:45:00,"Реконструктивная урогинекология, семинар","набережная реки Фонтанки, д. 154, лит. А, 447"
602,2023-08-18 09:00:00,2023-08-18 10:30:00,"Реконструктивная урогинекология, лекция","набережная реки Фонтанки, д. 154, лит. Г, 244"
603,2023-08-18 11:00:00,2023-08-18 12:30:00,"Реконструктивная урогинекология, семинар","набережная реки Фонтанки, д. 154, лит. Г, 244"
604,2023-08-22 12:00:00,2023-08-22 13:30:00,"Реконструктивная урогинекология, лекция","набережная реки Фонтанки, д. 154, лит. Г, 244"
605,2023-08-23 11:45:00,2023-08-23 14:45:00,"Реконструктивная урогинекология, практическое занятие","набережная реки Фонтанки, д. 154, лит. А, 447"
606,2023-08-24 11:45:00,2023-08-24 14:45:00,"Реконструктивная урогинекология, семинар","набережная реки Фонтанки, д. 154, лит. А, 447"
607,2023-08-25 09:00:00,2023-08-25 10:30:00,"Реконструктивная урогинекология, лекция","набережная реки Фонтанки, д. 154, лит. Г, 244"
608,2023-08-25 11:00:00,2023-08-25 12:30:00,"Реконструктивная урогинекология, семинар","набережная реки Фонтанки, д. 154, лит. Г, 244"
11,2023-08-09 15:30:00,2023-08-09 17:00:00,"Летняя школа русского языка как иностранного в Санкт-Петербургском государственном университете., практическое занятие","9-я линия В.О., д. 2/11, лит. А, 316"
705,2023-08-24 10:00:00,2023-08-24 11:45:00,"Управление персоналом организации высшего образования, лекция",С использованием информационно-коммуникационных технологий
881,2023-08-31 09:00:00,2023-08-31 10:30:00,"Русский язык как иностранный A2-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 221"
882,2023-08-31 10:40:00,2023-08-31 12:10:00,"Русский язык как иностранный A2-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 221"
883,2023-08-31 12:20:00,2023-08-31 13:50:00,"Русский язык как иностранный A2-2, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 215"
884,2023-08-31 14:00:00,2023-08-31 15:30:00,"Русский язык как иностранный A2-2, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 215"
885,2023-08-31 15:40:00,2023-08-31 17:10:00,"Русский язык как иностранный A1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 315"
18,2023-08-09 12:20:00,2023-08-09 13:50:00,"Летняя школа русского языка как иностранного в Санкт-Петербургском государственном университете., практическое занятие","9-я линия В.О., д. 2/11, лит. А, 406"
886,2023-08-31 17:20:00,2023-08-31 18:50:00,"Русский язык как иностранный A1-1, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 315"
889,2023-08-10 10:45:00,2023-08-10 12:00:00,"Летняя школа русского языка как иностранного в Санкт-Петербургском государственном университете., практическое занятие","9-я линия В.О., д. 2/11, лит. А, 308"
890,2023-08-10 12:20:00,2023-08-10 13:20:00,"Летняя школа русского языка как иностранного в Санкт-Петербургском государственном университете., практическое занятие","9-я линия В.О., д. 2/11, лит. А, 308"
891,2023-08-11 09:00:00,2023-08-11 10:30:00,"Русский язык как иностранный A2-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 221"
892,2023-08-11 10:40:00,2023-08-11 12:10:00,"Русский язык как иностранный A2-3, практическое занятие","9-я линия В.О., д. 2/11, лит. А, 221"
893,2023-08-11 12:45:00,2023-08-11 14:00:00,"Летняя школа русского языка как иностранного в Санкт-Петербургском государственном университете., практическое занятие","9-я линия В.О., д. 2/11, лит. А, 308"
894,2023-08-11 14:20:00,2023-08-11 15:20:00,"Летняя школа русского языка как иностранного в Санкт-Петербургском государственном университете., практическое занятие","9-я линия В.О., д. 2/11, лит. А, 308"
