id,name,level_name,year,division_id
14300,Distance preparing for USE in Mathematics,additional educational programmes based on basic general education,2022,578
14294,Preparing for USE in Computer Science,additional educational programmes based on basic general education,2022,578
13398,Preparing for USE in Computer Science,additional educational programmes based on basic general education,2021,578
14295,Preparing for USE in history,additional educational programmes based on basic general education,2022,578
13418,Preparing for USE in history,additional educational programmes based on basic general education,2021,578
15973,Preparing for USE in History (8 Months),additional educational programmes based on basic general education,2023,578
14296,Preparing for USE in mathematics,additional educational programmes based on basic general education,2022,578
13419,Preparing for USE in mathematics,additional educational programmes based on basic general education,2021,578
14297,Preparing for USE in the social studies,additional educational programmes based on basic general education,2022,578
13420,Preparing for USE in the social studies,additional educational programmes based on basic general education,2021,578
15974,Preparing for USE in Social Sciences (8 Months),additional educational programmes based on basic general education,2023,578
14298,Preparing for USE in Russian language,additional educational programmes based on basic general education,2022,578
13421,Preparing for USE in Russian language,additional educational programmes based on basic general education,2021,578
15975,Preparing for USE in Russian Language (8 Months),additional educational programmes based on basic general education,2023,578
13446,Preparing for USE in Physics,additional educational programmes based on basic general education,2021,578
14316,Additional chapters in Biology (9 grade),additional education of children,2022,578
13415,Additional chapters in Biology (9 grade),additional education of children,2021,578
13402,Additional chapters in Mathematics (6 grade),additional education of children,2021,578
14312,Additional chapters in Mathematics (7 grade),additional education of children,2022,578
13411,Additional chapters in Mathematics (7 grade),additional education of children,2021,578
13406,Additional chapters in Physics (7 grade),additional education of children,2021,578
15608,Biology and Chemistry,basic general,2023,578
14247,Biology and Chemistry,basic general,2022,578
13271,Biology and Chemistry,basic general,2021,578
15615,Geography and Geoecology,basic general,2023,578
15606,Convergence and High Technology,basic general,2023,578
14245,Convergence and High Technology,basic general,2022,578
13269,Convergence and High Technology,basic general,2021,578
15607,Mathematics and Physics,basic general,2023,578
14246,Mathematics and Physics,basic general,2022,578
13270,Mathematics and Physics,basic general,2021,578
15985,"Obrazovateljnaya programma osnovnogo obschego obrazovaniya ""Onlayn-shkola SPbGU""",basic general,2023,578
12213,"Physical and  Mathematical Profile ""Convergence and High Technology""",basic general,2020,578
12197,"Physical and Mathematical Profile ""Mathematics and Physics""",basic general,2020,578
15610,Biology,secondary (complete) general,2023,578
14249,Biology,secondary (complete) general,2022,578
13273,Biology,secondary (complete) general,2021,578
12195,"Geographical Profile ""Geography and Geoecology""",secondary (complete) general,2020,578
15611,Geography and Geoecology,secondary (complete) general,2023,578
14250,Geography and Geoecology,secondary (complete) general,2022,578
13274,Geography and Geoecology,secondary (complete) general,2021,578
12205,"Informational and Technological Profile ""Applied Mathematical and Information Technologies""",secondary (complete) general,2020,578
15609,Convergence and High Technology,secondary (complete) general,2023,578
14248,Convergence and High Technology,secondary (complete) general,2022,578
13272,Convergence and High Technology,secondary (complete) general,2021,578
15614,Mathematics and Physics,secondary (complete) general,2023,578
14253,Mathematics and Physics,secondary (complete) general,2022,578
13277,Mathematics and Physics,secondary (complete) general,2021,578
15986,"Obrazovateljnaya programma srednego obschego obrazovaniya ""Onlayn-shkola SPbGU""",secondary (complete) general,2023,578
15612,Applied Mathematical and Information Technologies,secondary (complete) general,2023,578
14251,Applied Mathematical and Information Technologies,secondary (complete) general,2022,578
13275,Applied Mathematical and Information Technologies,secondary (complete) general,2021,578
12233,"Physical and Mathematical Profile ""Convergence and High Technology""",secondary (complete) general,2020,578
12193,"Physical and Mathematical Profile ""Mathematics and Physics""",secondary (complete) general,2020,578
12194,"Chemical and Biological Profile ""Biology""",secondary (complete) general,2020,578
12196,"Chemical and Biological Profile ""Chemistry""",secondary (complete) general,2020,578
15613,Chemistry,secondary (complete) general,2023,578
14252,Chemistry,secondary (complete) general,2022,578
13276,Chemistry,secondary (complete) general,2021,578
15061,Biology,bachelor studies,2023,579
13863,Biology,bachelor studies,2022,579
12853,Biology,bachelor studies,2021,579
11895,Biology,bachelor studies,2020,579
11027,Biology,bachelor studies,2019,579
9996,Biology,bachelor studies,2018,579
15116,Biology: Bioengineering Technologies,bachelor studies,2023,579
14085,Biology: Bioengineering Technologies,bachelor studies,2022,579
12980,Biology: Bioengineering Technologies,bachelor studies,2021,579
12086,Biology: Bioengineering Technologies,bachelor studies,2020,579
14174,Four-Month Preparatory Courses for the Unified State Exam in Biology,additional educational programmes based on basic general education,2021,579
15183,Bioinformatics,master studies,2023,579
14016,Bioinformatics,master studies,2022,579
13148,Bioinformatics,master studies,2021,579
12047,Bioinformatics,master studies,2020,579
15142,Biology,master studies,2023,579
13902,Biology,master studies,2022,579
13012,Biology,master studies,2021,579
11938,Biology,master studies,2020,579
15234,Cellular and Genetic Technologies,master studies,2023,579
14144,Cellular and Genetic Technologies,master studies,2022,579
13134,Molecular Biology and Agrobiotechnology of Plants,master studies,2021,579
12037,Molecular Biology and Agrobiotechnology of Plants,master studies,2020,579
15348,The Molecular-Genetic Fundamentals of Agrobiotechnology,master studies,2023,579
14143,The Molecular-Genetic Fundamentals of Agrobiotechnology,master studies,2022,579
15244,Ecology. Biodiversity and Nature Protection,master studies,2023,579
13905,Ecology. Biodiversity and Nature Protection,master studies,2022,579
13016,Ecology. Biodiversity and Nature Protection,master studies,2021,579
11941,Ecology. Biodiversity and Nature Protection,master studies,2020,579
12906,Biodiversity,Aspirantura Programme,2021,579
11986,Biodiversity,Aspirantura Programme,2020,579
10939,Biodiversity,Aspirantura Programme,2019,579
10287,Biodiversity,Aspirantura Programme,2018,579
12908,Cellular and Molecular Biology,Aspirantura Programme,2021,579
11988,Cellular and Molecular Biology,Aspirantura Programme,2020,579
10997,Cellular and Molecular Biology,Aspirantura Programme,2019,579
10301,Cellular and Molecular Biology,Aspirantura Programme,2018,579
12907,Physiology,Aspirantura Programme,2021,579
11987,Physiology,Aspirantura Programme,2020,579
11002,Physiology,Aspirantura Programme,2019,579
10284,Physiology,Aspirantura Programme,2018,579
12903,Ecology. Biodiversity and Nature Protection,Aspirantura Programme,2021,579
11983,Ecology. Biodiversity and Nature Protection,Aspirantura Programme,2020,579
10998,Ecology. Biodiversity and Nature Protection,Aspirantura Programme,2019,579
14090,Arabic Philology,bachelor studies,2022,580
12097,Arabic Philology,bachelor studies,2020,580
15106,"Assyriology (Languages, History, and Culture of the Ancient Near East)",bachelor studies,2023,580
12963,"Assyriology (Languages, History, and Culture of the Ancient Near East)",bachelor studies,2021,580
11023,"Assyriology (Languages, History, and Culture of the Ancient Near East)",bachelor studies,2019,580
10260,Asian and African Studies,bachelor studies,2018,580
9182,Asian and African Studies,bachelor studies,2017,580
15122,Vietnamese-Khmer Philology,bachelor studies,2023,580
12993,Vietnamese-Khmer Philology,bachelor studies,2021,580
14091,Hebrew Studies,bachelor studies,2022,580
12098,Hebrew Studies,bachelor studies,2020,580
12099,"Egyptology (The Languages, History and Culture of Ancient Egypt)",bachelor studies,2020,580
14136,Indo-Aryan (Bengali) Philology,bachelor studies,2022,580
11111,Indo-Aryan Philology (Hindi and Sanskrit),bachelor studies,2019,580
12994,"Indo-Aryan Philology (Hindi, Sanskrit, Telugu)",bachelor studies,2021,580
12100,Indonesian-Malay Philology,bachelor studies,2020,580
14092,Iranian Philology,bachelor studies,2022,580
12101,Iranian Philology,bachelor studies,2020,580
15095,Islamic Studies,bachelor studies,2023,580
12934,Islamic Studies,bachelor studies,2021,580
11106,Islamic Studies,bachelor studies,2019,580
15123,The History of the Arab Countries,bachelor studies,2023,580
12995,The History of the Arab Countries,bachelor studies,2021,580
11179,History of Arab Countries (Arabic and Hebrew/Turkish/Persian),bachelor studies,2019,580
12102,The History of Vietnam,bachelor studies,2020,580
15130,History of India,bachelor studies,2023,580
12103,The History of India and Nepal,bachelor studies,2020,580
15124,The History of Iran and Afghanistan,bachelor studies,2023,580
12996,The History of Iran and Afghanistan,bachelor studies,2021,580
11159,"History of Iran and Afghanistan (Persian, Afghan, and Arabic)",bachelor studies,2019,580
12997,The History of the Caucasus (Azerbaijan),bachelor studies,2021,580
14137,The History of the Caucasus (Armenia),bachelor studies,2022,580
12104,The History of the Caucasus (Georgia),bachelor studies,2020,580
14093,The History of China,bachelor studies,2022,580
12105,The History of China,bachelor studies,2020,580
14138,The History of Korea,bachelor studies,2022,580
11193,History of Korea (Korean and Chinese),bachelor studies,2019,580
12998,The History of Malaysia and Indonesia,bachelor studies,2021,580
12999,The History of Thailand,bachelor studies,2021,580
15131,History of Thailand and Burma,bachelor studies,2023,580
13000,The History of Tibet (China),bachelor studies,2021,580
15125,The History of Turkey,bachelor studies,2023,580
13001,The History of Turkey,bachelor studies,2021,580
15126,The History of Central Asia,bachelor studies,2023,580
13002,The History of Central Asia,bachelor studies,2021,580
11294,"History of Central Asia (Persian, Turkish, and Tajik/Uzbek)",bachelor studies,2019,580
14094,The History of Japan,bachelor studies,2022,580
12106,The History of Japan,bachelor studies,2020,580
15108,Chinese Philology,bachelor studies,2023,580
12967,Chinese Philology,bachelor studies,2021,580
11287,Chinese Philology,bachelor studies,2019,580
15118,Korean Philology,bachelor studies,2023,580
12107,Korean Philology,bachelor studies,2020,580
11044,Khmer and Thai Philology,bachelor studies,2019,580
14139,Mongolian-Tibetan Philology,bachelor studies,2022,580
11276,"Mongolian and Tibetan Philology (Mongolian, Tibetan, and Chinese)",bachelor studies,2019,580
11290,"Ottoman Studies (Languages, History and Culture of the Ottoman Turkey)",bachelor studies,2019,580
15119,Tibetan-Mongolian Philology,bachelor studies,2023,580
12108,Tibetan-Mongolian Philology,bachelor studies,2020,580
14095,Turkic Philology,bachelor studies,2022,580
12109,Turkic Philology,bachelor studies,2020,580
12110,The Languages and Culture of East Africa (Swahili),bachelor studies,2020,580
15114,Languages and Culture of East Africa (Ethiopian Studies),bachelor studies,2023,580
11088,Languages and Culture of East Africa (Ethiopian Studies),bachelor studies,2019,580
14140,The Languages and Culture of Western Africa (Hausa),bachelor studies,2022,580
13003,West African Languages and Cultures (The Mande Languages),bachelor studies,2021,580
14141,"The Languages, History and Culture of Ancient Egypt (Egyptology)",bachelor studies,2022,580
15127,Japanese Philology,bachelor studies,2023,580
13004,Japanese Philology,bachelor studies,2021,580
11071,Japanese Philology (Japanese and Chinese),bachelor studies,2019,580
14778,Asian and African Studies,additional educational programmes based on bachelor studies,2022,580
13632,Asian and African Studies,additional educational programmes based on bachelor studies,2021,580
14341,Modern Chinese (Intermediate Course),additional educational programmes based on bachelor studies,2022,580
13603,Modern Chinese (Intermediate Course),additional educational programmes based on bachelor studies,2021,580
12505,Modern Chinese (Intermediate Course),additional educational programmes based on bachelor studies,2020,580
11591,Modern Chinese (Intermediate Course),additional educational programmes based on bachelor studies,2019,580
14351,Modern Chinese (Upper-intermediate Course),additional educational programmes based on bachelor studies,2022,580
13609,Modern Chinese (Upper-intermediate Course),additional educational programmes based on bachelor studies,2021,580
15965,Oriental Languages Courses,additional educational programmes based on bachelor studies,2023,580
14349,Oriental Languages Courses,additional educational programmes based on bachelor studies,2022,580
13607,Oriental Languages Courses,additional educational programmes based on bachelor studies,2021,580
12772,Oriental Languages Courses,additional educational programmes based on bachelor studies,2020,580
15964,Oriental Languages Courses,additional educational programmes based on basic general education,2023,580
14348,Oriental Languages Courses,additional educational programmes based on basic general education,2022,580
13606,Oriental Languages Courses,additional educational programmes based on basic general education,2021,580
12771,Oriental Languages Courses,additional educational programmes based on basic general education,2020,580
14347,Fundamentals of Oriental Studies,additional educational programmes based on basic general education,2022,580
15962,Modern Chinese (Intermediate Course),additional educational programmes based on secondary (complete) general education,2023,580
14342,Modern Chinese (Intermediate Course),additional educational programmes based on secondary (complete) general education,2022,580
13604,Modern Chinese (Intermediate Course),additional educational programmes based on secondary (complete) general education,2021,580
12494,Modern Chinese (Intermediate Course),additional educational programmes based on secondary (complete) general education,2020,580
14350,Modern Chinese (Upper-intermediate Course),additional educational programmes based on secondary (complete) general education,2022,580
13608,Modern Chinese (Upper-intermediate Course),additional educational programmes based on secondary (complete) general education,2021,580
12506,Modern Chinese (Upper-intermediate Course),additional educational programmes based on secondary (complete) general education,2020,580
15185,Languages and Cultures of Africa,master studies,2023,580
14024,Languages and Cultures of Africa,master studies,2022,580
13153,Languages and Cultures of Africa,master studies,2021,580
15168,Islamic Studies,master studies,2023,580
13980,Islamic Studies,master studies,2022,580
13117,Islamic Studies,master studies,2021,580
12204,Islamic Studies,master studies,2020,580
15203,Asian and African History (with Asian/African language tuition),master studies,2023,580
14054,Asian and African History (with Asian/African language tuition),master studies,2022,580
13176,Asian and African History (with Asian/African language tuition),master studies,2021,580
12239,Asian and African History (with Asian/African language tuition),master studies,2020,580
15205,Asian and African Cultures (with Asian/African language tuition),master studies,2023,580
14058,Asian and African Cultures (with Asian/African language tuition),master studies,2022,580
13180,Asian and African Cultures (with Asian/African language tuition),master studies,2021,580
12242,Asian and African Cultures (with Asian/African language tuition),master studies,2020,580
15219,Asian and African Literatures (with Asian/African language tuition),master studies,2023,580
14112,Asian and African Literatures (with Asian/African language tuition),master studies,2022,580
13226,Asian and African Literatures (with Asian/African language tuition),master studies,2021,580
12278,Asian and African Literatures (with Asian/African language tuition),master studies,2020,580
15207,Politics and International Relations in Asia and Africa (with Asian/African language tuition),master studies,2023,580
14066,Politics and International Relations in Asia and Africa (with Asian/African language tuition),master studies,2022,580
13189,Politics and International Relations in Asia and Africa (with Asian/African language tuition),master studies,2021,580
12249,Politics and International Relations in Asia and Africa (with Asian/African language tuition),master studies,2020,580
15209,Asian and African Religions (with Asian/African language tuition),master studies,2023,580
14069,Asian and African Religions (with Asian/African language tuition),master studies,2022,580
13195,Asian and African Religions (with Asian/African language tuition),master studies,2021,580
15177,"Contemporary China: Economics, Politics, Society (with Chinese language tuition)",master studies,2023,580
14001,"Contemporary China: Economics, Politics, Society (with Chinese language tuition)",master studies,2022,580
13923,Graphic Design,master studies,2022,584
13135,"Contemporary China: Economics, Politics, Society (with Chinese language tuition)",master studies,2021,580
12217,"Contemporary China: Economics, Politics, Society (with Chinese language tuition)",master studies,2020,580
15228,The Socio-Cultural Anthropology of the Peoples of Asia and Africa (with Asian and African Language Tuition),master studies,2023,580
14131,The Socio-Cultural Anthropology of the Peoples of Asia and Africa (with Asian and African Language Tuition),master studies,2022,580
13245,The Socio-Cultural Anthropology of the Peoples of Asia and Africa (with Asian and African Language Tuition),master studies,2021,580
15238,Translation theory and practice (Languages of Asia and Africa),master studies,2023,580
15212,Asian and African Economies and International Economic Relations (with Asian/African language tuition),master studies,2023,580
14077,Asian and African Economies and International Economic Relations (with Asian/African language tuition),master studies,2022,580
